problem,solution,topic
"Workflow bị mất publish, sáng bật lại thì chiều lại tự tắt. Tài khoản có flow public rồi nhưng một thời gian sau lại thấy không public nữa.","Đây thường do node vmail: outlook xác thực sai liên tục làm vmail từ chối kết nối, netAgent gọi vào vmail bị fail nên sau một số lần bị unpublish. Kiểm tra credential vmail (chỉ cần username, không cần đuôi @). Nếu là lỗi hạ tầng chung, team sẽ publish lại giúp khi phát hiện workflow bị unpublish.",workflow_publish
"Node vmail trigger không hoạt động ổn định, lúc chạy lúc không, hoặc không trigger theo chu kỳ đã cấu hình.","Nguyên nhân do bên Vmail đã chặn một số IP worker của netAgent vì đánh giá là spam (gửi quá nhiều request). Team đang làm việc với đầu mối Vmail để xử lý cơ chế xác thực từ vmail đến SSO. Trong thời gian chờ, các workflow dùng node Vmail có thể tạm thời chưa hoạt động.",email
"Vmail web có cơ chế tự đánh dấu mail đã đọc, nên node vmail trigger đánh giá là không có mail mới và không chạy.","Đây là cơ chế của vmail web tự đọc hết mail. Có thể dùng schedule trigger + action get mail thay cho vmail trigger để chủ động lấy mail theo lịch.",email
"Tạo mới credentials rồi save tự động thì báo lỗi, hoặc credential của node netMind agent bị lỗi không tìm thấy LLM qua gateway.","Credential của node netMind thường do hết hạn token. Đăng nhập trên web netMind và bấm nút lấy token mới theo hướng dẫn, sau đó cập nhật lại credential. Với node cần token netChat thì lấy lại token từ netChat (bấm F12 lấy token) và dán vào node.",credential
"LLM Model báo lỗi 504 Gateway Timeout khi chạy workflow, hoặc báo timeout liên tục khi đưa dữ liệu qua LLM.","Nguyên nhân do hạ tầng LLM quá tải, sẽ thấy lúc được lúc không do đôi lúc tải cao gây timeout. Không nên truyền dữ liệu quá lớn vào LLM (ví dụ 4.6MB sẽ không xử lý được). Dùng node summary để tổng hợp dữ liệu trước khi đưa vào LLM.",llm_model
"Không chọn được model trên netAgent, hoặc model Minimax lỗi.","Hệ thống đã ngừng dùng model Minimax-m2.5, thay bằng Qwen3.5 và GPT-OSS-120b. Cần tạo mới Credential cho tất cả luồng đang dùng AI Agent và đổi sang Qwen3.5 (tác vụ Agent/Automation, xử lý ảnh) hoặc GPT-OSS-120b (viết & tóm tắt báo cáo). Không chọn DeepSeek-OCR-2 vì model này chỉ dùng cho node OCR.",llm_model
"Datatable báo gần hết dung lượng dù chỉ mới lưu vài dòng dữ liệu nhỏ (0.01-0.05MB), giới hạn 50MB.","Datatable dùng để lưu dữ liệu đơn giản, số lượng bản ghi không quá lớn. Phần hiển thị dung lượng có thể chưa tính toán lại ngay sau khi xóa bảng. Không nên lưu trữ dữ liệu lớn ở datatable; team nâng dần giới hạn theo nhu cầu.",datatable
"Import file csv vào datatable bị báo lỗi header, file 2 cột bị gộp thành 1.","Trong file csv, sửa dấu phân cách "";"" thành "","" rồi upload lại file. netAgent hỗ trợ cả file xlsx và csv.",datatable
"Máy/IP không vào được netflow.viettel.vn hoặc ITBrain, cần mở kết nối tới netAgent từ hệ thống nội bộ.","Gửi IP nguồn để xin mở kết nối. netAgent hiện đã mở kết nối đến một số hệ thống nội bộ (NetBI, Datalake, Vmail, netMind, netChat). IP nguồn netAgent để mở kết nối đến hệ thống khác là dải 10.211.162.9-25, port 443. Xin mở kết nối trên ITBrain hoặc liên hệ đầu mối.",connection_access
"Không được phép mở kết nối trực tiếp từ netAgent đến database nội bộ (ví dụ NPMS).","Không mở kết nối trực tiếp đến DB được. Phải mở đến port ứng dụng của hệ thống đó (ví dụ npms) rồi xin API. Với datalake thì được phép kết nối trực tiếp để query, hoặc yêu cầu đội liên quan đẩy dữ liệu lên datalake.",connection_access
"netflow bị lỗi 502, không truy cập được.","Load lại trang giúp, nguyên nhân do bị tràn memory. Nếu là lỗi hạ tầng chung team đang xử lý sẽ thông báo lại.",connection_access
"Muốn vẽ biểu đồ/chart trong netflow nhưng node quickchart không được, hoặc Report Engine trả lỗi 404.","Dùng node netAgent Report Engine để tạo biểu đồ (trong node có doc hướng dẫn). Nếu dùng Custom Vega-lite thì phải viết đúng cú pháp Vega-Lite Spec (không viết Chart.js vào trường Vega-Lite), nếu sai sẽ trả 404. Node Code JavaScript vẽ chart cần thư viện canvas nhưng netAgent chưa cài sẵn.",node_feature
"Node Get file by ID của Netchat báo lỗi Request to S3 failed khi tải file đính kèm.","Node netchat có action Get File By File ID để tải file đính kèm về, không cần dùng node http request. Để gửi file: upload file lên trước, lấy file_id rồi truyền mảng file_ids vào lúc tạo post. netAgent chưa hỗ trợ gửi đính kèm dạng binary trực tiếp trong node netchat.",node_feature
"Node Code báo lỗi dù node chạy thành công, giá trị trả về không hợp lệ.","Node code lỗi do giá trị trả về không đúng format yêu cầu. Bản thân node đã chạy thành công (kết quả đi ra nhánh success), chỉ là giá trị trả về không đúng định dạng.",node_feature
